"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2008",31159.8,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2009",29980.7,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2010",35165.5,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2011",38710.1,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2012",38003.7,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2013",36965,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2014",38047.9,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2015",36226,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2016",39082.3,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2017",43959.1,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2018",47259.8,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2019",47930.9,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2008",27620,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2009",25629.6,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2010",31916.5,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2011",39381.5,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2012",41632.8,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2013",42428.3,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2014",38774.5,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2015",34102.9,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2016",35674.6,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2017",39644.9,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2018",42478,
"AUS","TOUR_REC_EXP","INT-EXP","USD","A","2019",41452,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2008",21499.2,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2009",19302.8,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2010",18577.7,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2011",19833,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2012",21390.4,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2013",22734.9,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2014",23143.6,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2015",20352.5,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2016",20963.8,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2017",22483.8,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2018",25263.6,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2008",11309.9,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2009",10757.9,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2010",10221.9,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2011",10469.1,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2012",12377.1,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2013",12740.9,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2014",13518.1,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2015",11306.9,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2016",11572.6,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2017",12733.8,
"AUT","TOUR_REC_EXP","INT-EXP","USD","A","2018",14272,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2008",13117.515,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2009",13008.393,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2010",12682.7,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2011",14062.6,
